Month,Advertising,Sales
01-Jan,12,15
01-Feb,20.5,16
01-Mar,21,18
01-Apr,15.5,27
01-May,15.3,21
01-Jun,23.5,49
01-Jul,24.5,21
01-Aug,21.3,22
01-Sep,23.5,28
01-Oct,28,36
01-Nov,24,40
01-Dec,15.5,3
02-Jan,17.3,21
02-Feb,25.3,29
02-Mar,25,62
02-Apr,36.5,65
02-May,36.5,46
02-Jun,29.6,44
02-Jul,30.5,33
02-Aug,28,62
02-Sep,26,22
02-Oct,21.5,12
02-Nov,19.7,24
02-Dec,19,3
03-Jan,16,5
03-Feb,20.7,14
03-Mar,26.5,36
03-Apr,30.6,40
03-May,32.3,49
03-Jun,29.5,7
03-Jul,28.3,52
03-Aug,31.3,65
03-Sep,32.2,17
03-Oct,26.4,5
03-Nov,23.4,17
03-Dec,16.4,1
